,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226
10,0.450462,0.444308,0.439385,0.435692,0.434462,0.434462,0.436308,0.439385,0.444308,0.451077,0.458462,0.468308,0.478154,0.489231,0.500308,0.456615,0.448615,0.441846,0.436308,0.433231,0.431385,0.432,0.434462,0.438769,0.444308,0.452923,0.462154,0.472615,0.483692,0.496,0.463385,0.452923,0.443692,0.436923,0.431385,0.428308,0.427077,0.428308,0.432,0.437538,0.445538,0.454769,0.465231,0.477538,0.490462,0.470154,0.457231,0.446154,0.436923,0.430154,0.425231,0.422154,0.422769,0.425231,0.430154,0.437538,0.446769,0.457231,0.470154,0.483692,0.477538,0.462769,0.449231,0.437538,0.428923,0.422154,0.418462,0.416615,0.417846,0.422769,0.429538,0.438154,0.449231,0.462154,0.476308,0.485538,0.468308,0.452923,0.439385,0.428923,0.420308,0.414769,0.411692,0.412308,0.415385,0.421538,0.430769,0.441231,0.453538,0.467692,0.494769,0.475692,0.457846,0.441846,0.429538,0.419077,0.412308,0.407385,0.406769,0.409231,0.414769,0.423385,0.433231,0.445538,0.460923,0.504615,0.484308,0.464615,0.446769,0.430769,0.419692,0.411077,0.404923,0.402462,0.404308,0.409231,0.417231,0.426462,0.439385,0.453538,0.515077,0.493538,0.472615,0.452923,0.435077,0.421538,0.411077,0.403692,0.400615,0.401231,0.404923,0.411692,0.420923,0.432615,0.447385,0.526154,0.504615,0.481846,0.460923,0.441846,0.425231,0.413538,0.405538,0.4,0.399385,0.402462,0.408615,0.416615,0.428308,0.441846,0.537846,0.515077,0.492308,0.470154,0.449846,0.432,0.417846,0.408615,0.402462,0.4,0.401846,0.406769,0.414154,0.424,0.437538,0.549538,0.527385,0.504,0.481231,0.460308,0.440615,0.425231,0.413538,0.406154,0.402462,0.403077,0.406769,0.412923,0.422154,0.434462,0.563077,0.539692,0.516308,0.492923,0.470769,0.451077,0.433846,0.420923,0.411692,0.407385,0.406154,0.408,0.413538,0.421538,0.433231,0.576,0.552615,0.529231,0.505846,0.483077,0.462154,0.443692,0.428308,0.419077,0.412308,0.410462,0.411077,0.415385,0.422769,0.433231,0.588923,0.566769,0.543385,0.518769,0.496,0.475077,0.456,0.439385,0.427077,0.420308,0.416,0.415385,0.419077,0.425231,0.436308,102.0,47.0
11,0.494769,0.489231,0.485538,0.481846,0.479385,0.478154,0.478154,0.48,0.484308,0.490462,0.497846,0.507692,0.518769,0.531077,0.544,0.489846,0.481846,0.475692,0.470154,0.465846,0.463385,0.461538,0.462154,0.465231,0.471385,0.479385,0.489231,0.500923,0.514462,0.528615,0.486154,0.475692,0.467077,0.459692,0.453538,0.449231,0.446154,0.446154,0.448,0.452923,0.459692,0.469538,0.481846,0.496,0.512615,0.483077,0.470769,0.459692,0.449846,0.442462,0.436308,0.432615,0.431385,0.432615,0.436923,0.443077,0.452923,0.465231,0.480615,0.497846,0.482462,0.467692,0.454769,0.443077,0.433846,0.426462,0.421538,0.419077,0.419077,0.422154,0.428923,0.437538,0.450462,0.465846,0.483692,0.484308,0.466462,0.451077,0.438154,0.427692,0.419077,0.412308,0.409231,0.408615,0.411077,0.416615,0.425231,0.437538,0.453538,0.472,0.488615,0.468308,0.451692,0.436308,0.423385,0.413538,0.406154,0.401846,0.4,0.401846,0.406769,0.416,0.427692,0.443692,0.462154,0.495385,0.473231,0.452923,0.436308,0.422769,0.411692,0.403077,0.397538,0.395077,0.395692,0.400615,0.408615,0.420308,0.435692,0.454769,0.504615,0.48,0.459077,0.439385,0.425231,0.412308,0.403077,0.395692,0.392,0.392615,0.396308,0.404308,0.415385,0.430769,0.449846,0.518154,0.491692,0.466462,0.447385,0.429538,0.416615,0.406154,0.397538,0.393231,0.392615,0.396308,0.403077,0.414769,0.429538,0.448615,0.529231,0.504,0.480615,0.457231,0.438154,0.423385,0.411692,0.403077,0.398154,0.396923,0.399385,0.406154,0.417231,0.432,0.450462,0.547077,0.521846,0.496,0.472615,0.451077,0.434462,0.420923,0.411692,0.406154,0.404308,0.406769,0.412308,0.422769,0.437538,0.456,0.564308,0.540923,0.515077,0.490462,0.468308,0.448615,0.434462,0.424,0.417846,0.415385,0.416615,0.422154,0.432,0.445538,0.463385,0.585846,0.561231,0.535385,0.510769,0.488,0.468308,0.451692,0.44,0.432615,0.430154,0.430769,0.435692,0.443692,0.457231,0.474462,0.607385,0.582154,0.556923,0.532923,0.510154,0.490462,0.473846,0.460308,0.451077,0.447385,0.447385,0.451692,0.460308,0.472615,0.488615,102.0,47.0
12,0.499692,0.496615,0.495385,0.494154,0.492923,0.493538,0.494769,0.497846,0.502769,0.508923,0.516923,0.526154,0.536,0.547077,0.558154,0.494769,0.489231,0.485538,0.481846,0.479385,0.478154,0.478154,0.48,0.484308,0.490462,0.497846,0.507692,0.518769,0.531077,0.544,0.489846,0.481846,0.475692,0.470154,0.465846,0.463385,0.461538,0.462154,0.465231,0.471385,0.479385,0.489231,0.500923,0.514462,0.528615,0.486154,0.475692,0.467077,0.459692,0.453538,0.449231,0.446154,0.446154,0.448,0.452923,0.459692,0.469538,0.481846,0.496,0.512615,0.483077,0.470769,0.459692,0.449846,0.442462,0.436308,0.432615,0.431385,0.432615,0.436923,0.443077,0.452923,0.465231,0.480615,0.497846,0.482462,0.467692,0.454769,0.443077,0.433846,0.426462,0.421538,0.419077,0.419077,0.422154,0.428923,0.437538,0.450462,0.465846,0.483692,0.484308,0.466462,0.451077,0.438154,0.427692,0.419077,0.412308,0.409231,0.408615,0.411077,0.416615,0.425231,0.437538,0.453538,0.472,0.488615,0.468308,0.451692,0.436308,0.423385,0.413538,0.406154,0.401846,0.4,0.401846,0.406769,0.416,0.427692,0.443692,0.462154,0.495385,0.473231,0.452923,0.436308,0.422769,0.411692,0.403077,0.397538,0.395077,0.395692,0.400615,0.408615,0.420308,0.435692,0.454769,0.504615,0.48,0.459077,0.439385,0.425231,0.412308,0.403077,0.395692,0.392,0.392615,0.396308,0.404308,0.415385,0.430769,0.449846,0.518154,0.491692,0.466462,0.447385,0.429538,0.416615,0.406154,0.397538,0.393231,0.392615,0.396308,0.403077,0.414769,0.429538,0.448615,0.529231,0.504,0.480615,0.457231,0.438154,0.423385,0.411692,0.403077,0.398154,0.396923,0.399385,0.406154,0.417231,0.432,0.450462,0.547077,0.521846,0.496,0.472615,0.451077,0.434462,0.420923,0.411692,0.406154,0.404308,0.406769,0.412308,0.422769,0.437538,0.456,0.564308,0.540923,0.515077,0.490462,0.468308,0.448615,0.434462,0.424,0.417846,0.415385,0.416615,0.422154,0.432,0.445538,0.463385,0.585846,0.561231,0.535385,0.510769,0.488,0.468308,0.451692,0.44,0.432615,0.430154,0.430769,0.435692,0.443692,0.457231,0.474462,45.0,20.0
13,0.530462,0.521231,0.513846,0.508308,0.504,0.501538,0.500923,0.502769,0.506462,0.511385,0.518769,0.526769,0.536615,0.546462,0.558154,0.523077,0.512,0.502769,0.494769,0.489231,0.485538,0.484923,0.484923,0.488,0.492923,0.499692,0.507692,0.517538,0.528615,0.540308,0.516923,0.504,0.492923,0.483077,0.476308,0.470769,0.468308,0.468308,0.470769,0.475077,0.481231,0.489846,0.498462,0.510769,0.522462,0.512615,0.497846,0.484923,0.473231,0.464,0.457846,0.454154,0.453538,0.454769,0.458462,0.464,0.472,0.481231,0.493538,0.507077,0.510769,0.494154,0.478769,0.465846,0.454769,0.447385,0.442462,0.44,0.44,0.443077,0.448,0.456,0.465846,0.478154,0.491692,0.510154,0.492308,0.475692,0.460308,0.448,0.438769,0.432,0.428923,0.428308,0.430154,0.434462,0.441846,0.451692,0.463385,0.478154,0.513231,0.492923,0.474462,0.457846,0.443692,0.433231,0.425231,0.420923,0.419077,0.419692,0.424,0.430769,0.44,0.452308,0.466462,0.516923,0.496,0.476923,0.457846,0.442462,0.430154,0.420923,0.415385,0.412308,0.412308,0.416,0.422154,0.431385,0.443077,0.457231,0.522462,0.501538,0.480615,0.461538,0.443692,0.429538,0.419077,0.412308,0.408615,0.408,0.410462,0.416,0.425231,0.436923,0.451692,0.532308,0.508923,0.488615,0.467692,0.448,0.432,0.420308,0.411692,0.407385,0.406769,0.408615,0.413538,0.422154,0.434462,0.449231,0.542769,0.52,0.497231,0.475692,0.455385,0.438769,0.424615,0.415385,0.409846,0.408,0.409231,0.414154,0.422769,0.434462,0.449231,0.556923,0.532308,0.508923,0.487385,0.466462,0.448615,0.433846,0.423385,0.416615,0.413538,0.414154,0.418462,0.425846,0.438154,0.453538,0.572923,0.547077,0.523692,0.500923,0.48,0.461538,0.446154,0.434462,0.426462,0.422154,0.422154,0.425846,0.434462,0.446154,0.462154,0.591385,0.565538,0.540308,0.516923,0.496,0.477538,0.461538,0.449231,0.440615,0.435692,0.435077,0.438769,0.446769,0.459077,0.475077,0.610462,0.585231,0.560615,0.536,0.514462,0.495385,0.48,0.467077,0.457846,0.452923,0.451692,0.455385,0.463385,0.475077,0.490462,34.0,29.0
14,0.530462,0.521231,0.513846,0.508308,0.504,0.501538,0.500923,0.502769,0.506462,0.511385,0.518769,0.526769,0.536615,0.546462,0.558154,0.523077,0.512,0.502769,0.494769,0.489231,0.485538,0.484923,0.484923,0.488,0.492923,0.499692,0.507692,0.517538,0.528615,0.540308,0.516923,0.504,0.492923,0.483077,0.476308,0.470769,0.468308,0.468308,0.470769,0.475077,0.481231,0.489846,0.498462,0.510769,0.522462,0.512615,0.497846,0.484923,0.473231,0.464,0.457846,0.454154,0.453538,0.454769,0.458462,0.464,0.472,0.481231,0.493538,0.507077,0.510769,0.494154,0.478769,0.465846,0.454769,0.447385,0.442462,0.44,0.44,0.443077,0.448,0.456,0.465846,0.478154,0.491692,0.510154,0.492308,0.475692,0.460308,0.448,0.438769,0.432,0.428923,0.428308,0.430154,0.434462,0.441846,0.451692,0.463385,0.478154,0.513231,0.492923,0.474462,0.457846,0.443692,0.433231,0.425231,0.420923,0.419077,0.419692,0.424,0.430769,0.44,0.452308,0.466462,0.516923,0.496,0.476923,0.457846,0.442462,0.430154,0.420923,0.415385,0.412308,0.412308,0.416,0.422154,0.431385,0.443077,0.457231,0.522462,0.501538,0.480615,0.461538,0.443692,0.429538,0.419077,0.412308,0.408615,0.408,0.410462,0.416,0.425231,0.436923,0.451692,0.532308,0.508923,0.488615,0.467692,0.448,0.432,0.420308,0.411692,0.407385,0.406769,0.408615,0.413538,0.422154,0.434462,0.449231,0.542769,0.52,0.497231,0.475692,0.455385,0.438769,0.424615,0.415385,0.409846,0.408,0.409231,0.414154,0.422769,0.434462,0.449231,0.556923,0.532308,0.508923,0.487385,0.466462,0.448615,0.433846,0.423385,0.416615,0.413538,0.414154,0.418462,0.425846,0.438154,0.453538,0.572923,0.547077,0.523692,0.500923,0.48,0.461538,0.446154,0.434462,0.426462,0.422154,0.422154,0.425846,0.434462,0.446154,0.462154,0.591385,0.565538,0.540308,0.516923,0.496,0.477538,0.461538,0.449231,0.440615,0.435692,0.435077,0.438769,0.446769,0.459077,0.475077,0.610462,0.585231,0.560615,0.536,0.514462,0.495385,0.48,0.467077,0.457846,0.452923,0.451692,0.455385,0.463385,0.475077,0.490462,88.0,51.0
15,0.571692,0.577231,0.580923,0.583385,0.587692,0.591385,0.594462,0.596308,0.599385,0.601231,0.603692,0.605538,0.608,0.611077,0.614154,0.563692,0.568,0.570462,0.573538,0.576615,0.578462,0.580308,0.581538,0.584,0.587077,0.590769,0.594462,0.598154,0.601231,0.604308,0.556308,0.558769,0.56,0.561231,0.561231,0.560615,0.561846,0.561846,0.564308,0.566769,0.571692,0.577231,0.583385,0.589538,0.594462,0.549538,0.550154,0.549538,0.547077,0.545231,0.543385,0.542769,0.542154,0.544615,0.547692,0.552,0.557538,0.564923,0.573538,0.583385,0.542154,0.542154,0.538462,0.534154,0.529231,0.524923,0.522462,0.521846,0.523077,0.525538,0.531077,0.537846,0.546462,0.555077,0.564923,0.536615,0.534154,0.528615,0.522462,0.516308,0.511385,0.507077,0.505231,0.505846,0.507692,0.512,0.519385,0.528,0.539077,0.550154,0.533538,0.529846,0.523077,0.515692,0.507692,0.500923,0.496,0.492923,0.491692,0.494154,0.497846,0.504615,0.513231,0.523692,0.536615,0.535385,0.529231,0.521231,0.513231,0.504615,0.496615,0.490462,0.486154,0.484308,0.485538,0.488615,0.494769,0.503385,0.513846,0.525538,0.539692,0.532923,0.524308,0.514462,0.505846,0.496615,0.489846,0.484308,0.482462,0.482462,0.485538,0.491077,0.499077,0.508923,0.520615,0.548923,0.539692,0.531692,0.520615,0.510769,0.501538,0.494154,0.488615,0.485538,0.484923,0.487385,0.492308,0.499692,0.508923,0.520615,0.562462,0.550154,0.545231,0.531692,0.522462,0.512615,0.504,0.497846,0.494154,0.493538,0.494769,0.499077,0.505846,0.514462,0.524923,0.577231,0.564308,0.561231,0.545846,0.536615,0.527385,0.519385,0.512615,0.508308,0.506462,0.507077,0.510154,0.516308,0.523692,0.534154,0.596308,0.583385,0.580308,0.564308,0.555077,0.545846,0.537231,0.530462,0.525538,0.523077,0.523077,0.526154,0.531077,0.538462,0.548923,0.619692,0.605538,0.602462,0.587077,0.577846,0.568615,0.56,0.552615,0.547077,0.544,0.543385,0.545846,0.550769,0.558769,0.568,0.640615,0.629538,0.624,0.611692,0.603692,0.595077,0.586462,0.578462,0.572923,0.569231,0.568615,0.570462,0.574769,0.581538,0.588923,90.0,52.0
16,0.874462,0.875692,0.874462,0.871385,0.867077,0.861538,0.855385,0.849846,0.844308,0.838769,0.834462,0.829538,0.824615,0.819692,0.814154,0.878154,0.878154,0.875077,0.870154,0.864,0.856615,0.848615,0.842462,0.836308,0.831385,0.827077,0.823385,0.819077,0.814769,0.810462,0.881231,0.878769,0.873846,0.866462,0.858462,0.848615,0.84,0.832615,0.826462,0.822769,0.819077,0.816,0.812923,0.809846,0.806769,0.882462,0.877538,0.870769,0.861538,0.850462,0.838154,0.828308,0.820923,0.816,0.812308,0.809846,0.808,0.806154,0.804923,0.803077,0.881846,0.875077,0.865846,0.854154,0.839385,0.825846,0.815385,0.808,0.803692,0.801231,0.8,0.799385,0.799385,0.799385,0.799385,0.881231,0.872,0.859692,0.844308,0.826462,0.811077,0.799385,0.793231,0.790154,0.788923,0.789538,0.791385,0.793231,0.795077,0.796923,0.878769,0.867077,0.852923,0.833231,0.811692,0.795077,0.785231,0.780923,0.779692,0.780308,0.782769,0.786462,0.790154,0.794462,0.798154,0.876308,0.862769,0.846154,0.821538,0.797538,0.782154,0.774769,0.771692,0.771692,0.774769,0.779077,0.784615,0.790154,0.795692,0.801231,0.873846,0.858462,0.839385,0.811077,0.785846,0.773538,0.767385,0.765538,0.766769,0.771077,0.777231,0.785231,0.792615,0.8,0.806769,0.872615,0.856,0.835077,0.804923,0.779692,0.767385,0.763077,0.761231,0.764308,0.769846,0.777846,0.787692,0.796923,0.805538,0.812923,0.872,0.854769,0.833846,0.802462,0.776,0.765538,0.763077,0.760615,0.764923,0.772308,0.782154,0.793231,0.803077,0.812308,0.819692,0.873846,0.856615,0.836923,0.804923,0.777846,0.769231,0.761846,0.763077,0.769231,0.778462,0.789538,0.8,0.810462,0.819692,0.827692,0.876923,0.860308,0.842462,0.813538,0.785846,0.772923,0.768615,0.771692,0.777846,0.788308,0.8,0.809846,0.819692,0.828923,0.836923,0.881846,0.866462,0.851692,0.825846,0.799385,0.785231,0.782769,0.786462,0.792,0.801846,0.811692,0.821538,0.830154,0.838154,0.846154,0.887385,0.874462,0.861538,0.841846,0.819692,0.806154,0.802462,0.804923,0.811077,0.818462,0.827077,0.834462,0.841846,0.848615,0.856,94.0,50.0
17,0.527385,0.535385,0.542154,0.550154,0.556923,0.564923,0.571692,0.576615,0.580308,0.585231,0.590154,0.595692,0.601846,0.608,0.614769,0.531692,0.539077,0.546462,0.555077,0.563692,0.570462,0.572923,0.575385,0.577846,0.582769,0.588308,0.595077,0.601846,0.609846,0.618462,0.535385,0.540923,0.548923,0.557538,0.564308,0.568615,0.569846,0.571077,0.574154,0.578462,0.583385,0.590154,0.598154,0.608,0.617231,0.537846,0.542769,0.548923,0.556308,0.563077,0.566154,0.566154,0.566154,0.568615,0.571692,0.576,0.582769,0.591385,0.601231,0.612308,0.540923,0.544615,0.548308,0.553231,0.559385,0.563077,0.561846,0.558769,0.558154,0.561231,0.566154,0.572923,0.582154,0.593231,0.605538,0.544,0.547077,0.549538,0.550769,0.555692,0.56,0.555077,0.552,0.551385,0.553231,0.558154,0.564923,0.573538,0.585231,0.599385,0.549538,0.550769,0.552615,0.551385,0.552,0.555692,0.553846,0.548923,0.545231,0.547077,0.550769,0.557538,0.566769,0.578462,0.593231,0.555077,0.555692,0.555077,0.554462,0.550769,0.551385,0.552,0.548308,0.543385,0.542154,0.545231,0.551385,0.561231,0.573538,0.588308,0.562462,0.561846,0.559385,0.556923,0.553846,0.549538,0.548308,0.547692,0.544615,0.541538,0.543385,0.548308,0.557538,0.570462,0.585846,0.571692,0.568,0.565538,0.560615,0.557538,0.552,0.548308,0.547077,0.546462,0.545231,0.545846,0.548923,0.556923,0.568615,0.586462,0.582154,0.576,0.572308,0.566154,0.561231,0.556308,0.552,0.547692,0.547692,0.547692,0.548923,0.552615,0.558769,0.570462,0.588308,0.594462,0.586462,0.580308,0.574154,0.568,0.562462,0.557538,0.553231,0.549538,0.548923,0.550769,0.555077,0.562462,0.574154,0.591385,0.608615,0.6,0.592,0.582769,0.578462,0.569231,0.564923,0.559385,0.556923,0.554462,0.556308,0.561231,0.568615,0.580923,0.598154,0.625231,0.614154,0.603692,0.595077,0.586462,0.579077,0.573538,0.568,0.564308,0.562462,0.563692,0.568615,0.576615,0.590769,0.609231,0.644923,0.632,0.620923,0.608615,0.596923,0.591385,0.582769,0.577231,0.573538,0.572308,0.573538,0.577846,0.587077,0.602462,0.622769,18.0,30.0
18,0.590769,0.574769,0.558769,0.542769,0.529846,0.517538,0.508308,0.500923,0.496,0.492308,0.490462,0.489846,0.489846,0.491077,0.492923,0.587077,0.569846,0.552615,0.536615,0.522462,0.510154,0.501538,0.495385,0.491077,0.488,0.486769,0.486769,0.488,0.490462,0.493538,0.582769,0.564308,0.545846,0.529231,0.513846,0.503385,0.494769,0.489231,0.484923,0.483692,0.483077,0.483692,0.485538,0.489231,0.494154,0.577846,0.557538,0.537231,0.519385,0.505231,0.496,0.488615,0.483077,0.479385,0.478154,0.478154,0.48,0.483077,0.488,0.494769,0.572308,0.550154,0.529231,0.511385,0.498462,0.489231,0.481846,0.476308,0.472615,0.472615,0.473231,0.475077,0.480615,0.488,0.497231,0.566769,0.542154,0.52,0.503385,0.492308,0.483077,0.476308,0.470154,0.467692,0.466462,0.467077,0.472,0.479385,0.488615,0.499692,0.561231,0.536,0.513846,0.497846,0.486769,0.477538,0.469538,0.464615,0.461538,0.460923,0.462769,0.468923,0.476308,0.486154,0.498462,0.556308,0.529231,0.507692,0.492923,0.481231,0.472,0.464,0.459077,0.456,0.455385,0.459077,0.465231,0.473231,0.484308,0.499077,0.553231,0.526154,0.504,0.488615,0.477538,0.467692,0.459077,0.454154,0.451077,0.451077,0.454769,0.461538,0.471385,0.483692,0.500308,0.552615,0.524923,0.502154,0.486154,0.474462,0.464,0.456,0.450462,0.448,0.448,0.452308,0.460308,0.471385,0.484923,0.502769,0.553231,0.524923,0.501538,0.484923,0.472615,0.462154,0.454154,0.448615,0.446154,0.446769,0.451077,0.459077,0.471385,0.488615,0.508308,0.557538,0.528,0.503385,0.484923,0.472615,0.462769,0.454154,0.448615,0.446154,0.447385,0.451692,0.461538,0.475077,0.492923,0.516308,0.563692,0.532308,0.507077,0.488,0.474462,0.464,0.456,0.450462,0.448615,0.449846,0.455385,0.465846,0.481231,0.502154,0.526769,0.572308,0.539692,0.512615,0.492308,0.478154,0.467692,0.459692,0.454769,0.452923,0.454769,0.461538,0.473846,0.491077,0.513231,0.539077,0.583385,0.549538,0.521231,0.499077,0.483692,0.473231,0.465231,0.460923,0.459692,0.462769,0.470769,0.484308,0.503385,0.527385,0.554462,22.0,27.0
19,0.605538,0.590769,0.576,0.562462,0.551385,0.541538,0.534769,0.530462,0.528615,0.528,0.528615,0.530462,0.534154,0.538462,0.545231,0.590154,0.572923,0.558154,0.545846,0.536615,0.528615,0.523692,0.519385,0.516923,0.516923,0.517538,0.52,0.524923,0.531692,0.540923,0.572923,0.556923,0.543385,0.532923,0.523692,0.516923,0.510769,0.507077,0.504,0.502769,0.504,0.507692,0.513846,0.522462,0.534154,0.558769,0.543385,0.531692,0.521231,0.512615,0.504615,0.497846,0.492308,0.488615,0.488,0.488615,0.492923,0.500308,0.510769,0.524923,0.545846,0.534154,0.523692,0.512615,0.503385,0.493538,0.484923,0.478769,0.474462,0.472615,0.474462,0.48,0.488615,0.500923,0.516923,0.537846,0.526769,0.515692,0.504615,0.493538,0.482462,0.473846,0.465846,0.462154,0.460923,0.464,0.471385,0.480615,0.494154,0.511385,0.532308,0.520615,0.510154,0.498462,0.486154,0.473846,0.464,0.456615,0.453538,0.453538,0.457846,0.465231,0.475692,0.489846,0.508923,0.529231,0.517538,0.505846,0.493538,0.481231,0.468308,0.457846,0.451692,0.448615,0.449846,0.454769,0.462769,0.473846,0.489231,0.508923,0.528615,0.515077,0.504,0.491692,0.478154,0.465231,0.456,0.449846,0.447385,0.449846,0.454769,0.463385,0.475077,0.491692,0.512,0.530462,0.515692,0.504,0.491692,0.479385,0.467077,0.457231,0.452308,0.449846,0.452308,0.457231,0.466462,0.479385,0.496615,0.518769,0.535385,0.519385,0.506462,0.493538,0.481846,0.471385,0.462154,0.457231,0.455385,0.457231,0.463385,0.472615,0.485538,0.503385,0.527385,0.543385,0.525538,0.510769,0.498462,0.486154,0.476308,0.468923,0.464,0.462154,0.465231,0.470769,0.48,0.494154,0.513231,0.539077,0.555077,0.534154,0.518154,0.504615,0.493538,0.483692,0.476923,0.472615,0.471385,0.473846,0.48,0.489846,0.504615,0.525538,0.552615,0.569846,0.547077,0.528615,0.513846,0.501538,0.492923,0.486154,0.481846,0.481231,0.483692,0.489846,0.500923,0.516923,0.539692,0.568,0.588308,0.563692,0.542769,0.525538,0.512615,0.502769,0.496,0.492308,0.491692,0.494769,0.501538,0.513846,0.531692,0.555692,0.584615,62.0,44.0
20,0.497846,0.491692,0.486769,0.482462,0.479385,0.476923,0.476308,0.476308,0.476923,0.479385,0.482462,0.487385,0.492308,0.498462,0.504615,0.504,0.496,0.488615,0.483077,0.478769,0.475077,0.473231,0.472615,0.472615,0.474462,0.476923,0.481231,0.487385,0.494154,0.501538,0.508308,0.498462,0.489231,0.482462,0.475692,0.471385,0.468923,0.466462,0.465846,0.467077,0.469538,0.473846,0.48,0.487385,0.496,0.510154,0.498462,0.488615,0.479385,0.472,0.466462,0.462154,0.459077,0.457846,0.457846,0.460308,0.465231,0.471385,0.479385,0.489846,0.510769,0.497846,0.486154,0.475692,0.467077,0.460308,0.454769,0.449846,0.448,0.448,0.451077,0.456,0.462769,0.472,0.483077,0.509538,0.496,0.482462,0.470769,0.461538,0.453538,0.446154,0.441231,0.438769,0.438769,0.441846,0.447385,0.454769,0.465231,0.476923,0.508308,0.493538,0.479385,0.466462,0.456,0.447385,0.438769,0.433846,0.430154,0.430769,0.433846,0.44,0.448,0.459692,0.472615,0.507077,0.491077,0.476308,0.463385,0.452308,0.441846,0.433846,0.427692,0.424,0.424615,0.428308,0.434462,0.443692,0.455385,0.469538,0.505846,0.489846,0.475077,0.461538,0.449846,0.439385,0.430154,0.423385,0.420923,0.421538,0.425231,0.432,0.441231,0.454154,0.468923,0.505846,0.489846,0.474462,0.461538,0.449231,0.438769,0.429538,0.423385,0.420308,0.422154,0.425846,0.432,0.442462,0.455385,0.471385,0.506462,0.490462,0.476308,0.462769,0.451692,0.441231,0.432,0.425846,0.424,0.424615,0.428923,0.436308,0.446769,0.460923,0.476923,0.508923,0.493538,0.479385,0.466462,0.456,0.446769,0.438154,0.432615,0.430154,0.431385,0.436308,0.443692,0.454769,0.468923,0.486154,0.512615,0.497846,0.484308,0.472615,0.462769,0.454154,0.446769,0.442462,0.44,0.441846,0.446769,0.454769,0.466462,0.481846,0.499692,0.518769,0.504,0.491077,0.480615,0.471385,0.464,0.458462,0.454769,0.453538,0.456,0.461538,0.470154,0.482462,0.497231,0.515692,0.526154,0.512,0.500308,0.490462,0.482462,0.476308,0.472,0.470154,0.470154,0.473231,0.479385,0.488615,0.500923,0.516923,0.535385,101.0,24.0
21,0.632,0.632,0.631385,0.630769,0.628923,0.626462,0.624,0.620923,0.617846,0.614769,0.611692,0.608615,0.605538,0.601846,0.598769,0.626462,0.624615,0.622769,0.620308,0.616615,0.613538,0.609846,0.606769,0.603077,0.6,0.596308,0.593231,0.590154,0.587077,0.584,0.619077,0.616,0.612308,0.607385,0.603077,0.598769,0.593846,0.589538,0.585231,0.581538,0.577231,0.574769,0.572308,0.570462,0.569846,0.610462,0.605538,0.6,0.593846,0.587692,0.582154,0.576615,0.571077,0.567385,0.563692,0.561231,0.560615,0.560615,0.561231,0.563077,0.603077,0.595692,0.588308,0.580308,0.573538,0.567385,0.561231,0.557538,0.554462,0.552615,0.552,0.552,0.553846,0.555692,0.559385,0.595692,0.587077,0.577846,0.568615,0.561231,0.554462,0.550154,0.547077,0.546462,0.546462,0.546462,0.547077,0.548308,0.550769,0.556308,0.590154,0.579692,0.569231,0.56,0.552,0.545846,0.541538,0.540308,0.539077,0.539077,0.539692,0.540923,0.544615,0.548923,0.554462,0.587077,0.574769,0.563692,0.553846,0.545231,0.539077,0.535385,0.532923,0.531692,0.532308,0.533538,0.536,0.540308,0.547077,0.556308,0.586462,0.573538,0.561231,0.550769,0.541538,0.535385,0.531692,0.528615,0.528615,0.529231,0.531077,0.534769,0.539692,0.547692,0.558154,0.588923,0.574154,0.561231,0.549538,0.540308,0.534154,0.529846,0.527385,0.526769,0.528615,0.531077,0.535385,0.542154,0.551385,0.563692,0.595077,0.578462,0.564308,0.552,0.542154,0.534769,0.529846,0.528,0.528,0.529846,0.533538,0.539077,0.547692,0.558769,0.572923,0.604308,0.586462,0.571077,0.558154,0.547692,0.539077,0.534769,0.531692,0.532308,0.534154,0.539692,0.546462,0.556308,0.569846,0.585846,0.619077,0.599385,0.582154,0.568,0.556923,0.547692,0.542769,0.539692,0.540308,0.543385,0.548923,0.557538,0.569846,0.585231,0.603692,0.638154,0.617231,0.598769,0.582154,0.569846,0.561846,0.555077,0.553231,0.552615,0.557538,0.563692,0.573538,0.588308,0.605538,0.625231,0.659077,0.64,0.620923,0.603692,0.590154,0.579692,0.573538,0.570462,0.572308,0.576615,0.584615,0.596923,0.612308,0.630154,0.649231,20.0,27.0
