,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,label
87,11682.0,11689.0,11694.0,11699.0,11703.0,11707.0,11709.0,11711.0,11712.0,11712.0,11710.0,11709.0,11706.0,11702.0,11698.0,11721.0,11728.0,11734.0,11739.0,11743.0,11747.0,11750.0,11752.0,11753.0,11753.0,11753.0,11751.0,11749.0,11745.0,11740.0,11755.0,11763.0,11770.0,11775.0,11779.0,11782.0,11784.0,11787.0,11789.0,11790.0,11790.0,11789.0,11787.0,11783.0,11779.0,11783.0,11793.0,11801.0,11808.0,11813.0,11816.0,11818.0,11819.0,11820.0,11821.0,11821.0,11821.0,11819.0,11817.0,11812.0,11800.0,11810.0,11820.0,11829.0,11836.0,11841.0,11845.0,11847.0,11848.0,11849.0,11849.0,11848.0,11846.0,11843.0,11839.0,11818.0,11828.0,11837.0,11846.0,11854.0,11861.0,11866.0,11869.0,11870.0,11871.0,11871.0,11870.0,11869.0,11866.0,11861.0,11834.0,11843.0,11851.0,11859.0,11866.0,11873.0,11878.0,11882.0,11885.0,11886.0,11886.0,11885.0,11883.0,11880.0,11876.0,11845.0,11855.0,11864.0,11873.0,11880.0,11885.0,11889.0,11893.0,11895.0,11896.0,11897.0,11896.0,11894.0,11891.0,11886.0,11850.0,11859.0,11868.0,11876.0,11883.0,11889.0,11894.0,11898.0,11901.0,11903.0,11903.0,11902.0,11899.0,11896.0,11891.0,11849.0,11862.0,11872.0,11881.0,11888.0,11894.0,11899.0,11902.0,11904.0,11905.0,11905.0,11903.0,11900.0,11896.0,11890.0,11849.0,11860.0,11870.0,11879.0,11886.0,11892.0,11897.0,11900.0,11901.0,11901.0,11900.0,11898.0,11894.0,11890.0,11883.0,11843.0,11855.0,11865.0,11875.0,11883.0,11889.0,11893.0,11895.0,11896.0,11895.0,11892.0,11888.0,11883.0,11878.0,11871.0,11833.0,11846.0,11856.0,11865.0,11874.0,11879.0,11883.0,11885.0,11884.0,11882.0,11879.0,11875.0,11868.0,11862.0,11854.0,11823.0,11837.0,11848.0,11857.0,11865.0,11870.0,11873.0,11872.0,11870.0,11867.0,11863.0,11857.0,11851.0,11843.0,11838.0,11814.0,11827.0,11839.0,11846.0,11854.0,11857.0,11857.0,11858.0,11853.0,11849.0,11844.0,11838.0,11829.0,11819.0,11810.0,25.0,13.0,COH
88,11728.0,11732.0,11735.0,11738.0,11740.0,11741.0,11742.0,11741.0,11740.0,11739.0,11736.0,11733.0,11729.0,11724.0,11719.0,11762.0,11766.0,11769.0,11772.0,11774.0,11775.0,11776.0,11776.0,11775.0,11774.0,11772.0,11769.0,11765.0,11760.0,11755.0,11789.0,11794.0,11797.0,11801.0,11803.0,11805.0,11807.0,11808.0,11807.0,11806.0,11804.0,11801.0,11796.0,11792.0,11786.0,11819.0,11824.0,11828.0,11832.0,11835.0,11837.0,11839.0,11840.0,11839.0,11838.0,11836.0,11833.0,11828.0,11823.0,11817.0,11842.0,11848.0,11853.0,11858.0,11862.0,11865.0,11867.0,11868.0,11868.0,11867.0,11865.0,11861.0,11857.0,11851.0,11845.0,11862.0,11870.0,11876.0,11881.0,11885.0,11888.0,11890.0,11890.0,11891.0,11890.0,11888.0,11885.0,11881.0,11875.0,11868.0,11872.0,11881.0,11888.0,11895.0,11901.0,11905.0,11908.0,11910.0,11909.0,11909.0,11907.0,11904.0,11900.0,11894.0,11888.0,11885.0,11894.0,11902.0,11907.0,11912.0,11915.0,11919.0,11920.0,11922.0,11922.0,11921.0,11918.0,11914.0,11909.0,11902.0,11885.0,11894.0,11903.0,11911.0,11917.0,11924.0,11927.0,11929.0,11930.0,11930.0,11929.0,11926.0,11923.0,11918.0,11912.0,11889.0,11899.0,11907.0,11914.0,11920.0,11923.0,11928.0,11930.0,11932.0,11932.0,11930.0,11929.0,11925.0,11921.0,11915.0,11879.0,11890.0,11899.0,11907.0,11914.0,11920.0,11923.0,11926.0,11927.0,11928.0,11927.0,11925.0,11922.0,11918.0,11913.0,11871.0,11882.0,11891.0,11898.0,11905.0,11910.0,11913.0,11916.0,11917.0,11918.0,11917.0,11916.0,11914.0,11911.0,11906.0,11852.0,11861.0,11871.0,11879.0,11886.0,11892.0,11897.0,11899.0,11901.0,11903.0,11903.0,11902.0,11900.0,11897.0,11893.0,11832.0,11844.0,11853.0,11861.0,11867.0,11873.0,11878.0,11881.0,11883.0,11883.0,11884.0,11884.0,11881.0,11879.0,11875.0,11808.0,11817.0,11826.0,11837.0,11842.0,11848.0,11854.0,11858.0,11861.0,11861.0,11863.0,11860.0,11859.0,11858.0,11853.0,29.0,13.0,COH
89,11749.0,11750.0,11751.0,11751.0,11751.0,11749.0,11747.0,11744.0,11740.0,11735.0,11730.0,11724.0,11717.0,11710.0,11702.0,11779.0,11782.0,11784.0,11784.0,11784.0,11783.0,11781.0,11779.0,11775.0,11770.0,11765.0,11759.0,11752.0,11744.0,11736.0,11806.0,11810.0,11812.0,11814.0,11815.0,11815.0,11814.0,11811.0,11808.0,11804.0,11798.0,11792.0,11785.0,11777.0,11768.0,11830.0,11835.0,11838.0,11840.0,11842.0,11842.0,11842.0,11840.0,11837.0,11833.0,11828.0,11822.0,11815.0,11806.0,11797.0,11848.0,11853.0,11858.0,11862.0,11864.0,11865.0,11865.0,11864.0,11861.0,11858.0,11853.0,11847.0,11840.0,11832.0,11822.0,11864.0,11870.0,11874.0,11878.0,11881.0,11882.0,11884.0,11883.0,11882.0,11879.0,11874.0,11869.0,11862.0,11854.0,11845.0,11870.0,11877.0,11884.0,11890.0,11894.0,11896.0,11897.0,11897.0,11896.0,11894.0,11890.0,11885.0,11879.0,11871.0,11862.0,11875.0,11883.0,11889.0,11894.0,11899.0,11902.0,11905.0,11906.0,11906.0,11904.0,11901.0,11897.0,11891.0,11884.0,11875.0,11871.0,11881.0,11890.0,11898.0,11903.0,11907.0,11909.0,11911.0,11911.0,11910.0,11907.0,11904.0,11899.0,11892.0,11884.0,11869.0,11878.0,11885.0,11891.0,11899.0,11904.0,11908.0,11910.0,11911.0,11910.0,11908.0,11905.0,11901.0,11895.0,11887.0,11855.0,11866.0,11876.0,11885.0,11891.0,11897.0,11901.0,11904.0,11906.0,11906.0,11905.0,11902.0,11899.0,11893.0,11886.0,11844.0,11854.0,11863.0,11872.0,11879.0,11885.0,11890.0,11893.0,11895.0,11897.0,11896.0,11895.0,11892.0,11887.0,11881.0,11823.0,11834.0,11844.0,11853.0,11861.0,11868.0,11874.0,11879.0,11882.0,11884.0,11884.0,11884.0,11882.0,11879.0,11874.0,11807.0,11816.0,11825.0,11834.0,11842.0,11850.0,11855.0,11858.0,11863.0,11867.0,11868.0,11869.0,11867.0,11865.0,11861.0,11788.0,11798.0,11804.0,11812.0,11820.0,11827.0,11834.0,11840.0,11847.0,11847.0,11849.0,11851.0,11849.0,11850.0,11846.0,31.0,13.0,COH
90,11760.0,11760.0,11760.0,11759.0,11757.0,11754.0,11751.0,11746.0,11741.0,11735.0,11727.0,11719.0,11711.0,11701.0,11690.0,11781.0,11782.0,11783.0,11783.0,11782.0,11780.0,11777.0,11774.0,11769.0,11763.0,11756.0,11749.0,11740.0,11730.0,11719.0,11796.0,11800.0,11802.0,11804.0,11805.0,11804.0,11803.0,11800.0,11796.0,11791.0,11785.0,11777.0,11769.0,11759.0,11748.0,11811.0,11815.0,11818.0,11821.0,11822.0,11823.0,11822.0,11821.0,11818.0,11814.0,11809.0,11802.0,11793.0,11784.0,11773.0,11818.0,11824.0,11830.0,11834.0,11838.0,11839.0,11840.0,11840.0,11838.0,11835.0,11830.0,11824.0,11816.0,11807.0,11796.0,11824.0,11830.0,11836.0,11842.0,11846.0,11850.0,11853.0,11854.0,11853.0,11850.0,11846.0,11841.0,11834.0,11825.0,11815.0,11824.0,11833.0,11843.0,11849.0,11854.0,11859.0,11861.0,11863.0,11864.0,11862.0,11859.0,11854.0,11848.0,11840.0,11830.0,11825.0,11834.0,11840.0,11850.0,11857.0,11862.0,11867.0,11870.0,11870.0,11870.0,11867.0,11864.0,11858.0,11850.0,11841.0,11819.0,11830.0,11840.0,11848.0,11856.0,11862.0,11867.0,11871.0,11873.0,11873.0,11872.0,11869.0,11864.0,11857.0,11848.0,11814.0,11824.0,11833.0,11843.0,11850.0,11858.0,11863.0,11868.0,11872.0,11873.0,11872.0,11870.0,11866.0,11859.0,11851.0,11804.0,11813.0,11823.0,11832.0,11841.0,11851.0,11858.0,11864.0,11867.0,11869.0,11870.0,11868.0,11865.0,11860.0,11852.0,11796.0,11804.0,11813.0,11823.0,11833.0,11839.0,11846.0,11852.0,11858.0,11862.0,11863.0,11863.0,11860.0,11855.0,11849.0,11787.0,11793.0,11802.0,11810.0,11818.0,11827.0,11835.0,11844.0,11846.0,11850.0,11853.0,11853.0,11853.0,11849.0,11843.0,11775.0,11781.0,11789.0,11797.0,11805.0,11812.0,11819.0,11824.0,11831.0,11836.0,11840.0,11842.0,11841.0,11839.0,11834.0,11759.0,11767.0,11776.0,11783.0,11791.0,11798.0,11805.0,11811.0,11817.0,11821.0,11825.0,11827.0,11828.0,11826.0,11822.0,32.0,15.0,COH
91,11731.0,11730.0,11729.0,11728.0,11727.0,11725.0,11723.0,11721.0,11718.0,11713.0,11708.0,11702.0,11694.0,11685.0,11675.0,11745.0,11745.0,11745.0,11745.0,11745.0,11744.0,11742.0,11740.0,11737.0,11733.0,11728.0,11723.0,11715.0,11706.0,11696.0,11761.0,11761.0,11762.0,11761.0,11761.0,11761.0,11761.0,11759.0,11756.0,11753.0,11749.0,11743.0,11736.0,11727.0,11717.0,11772.0,11773.0,11775.0,11776.0,11777.0,11777.0,11777.0,11776.0,11775.0,11772.0,11768.0,11763.0,11756.0,11748.0,11738.0,11784.0,11786.0,11787.0,11789.0,11790.0,11791.0,11792.0,11792.0,11791.0,11789.0,11786.0,11781.0,11775.0,11766.0,11756.0,11791.0,11793.0,11796.0,11798.0,11801.0,11802.0,11805.0,11805.0,11806.0,11804.0,11802.0,11798.0,11792.0,11785.0,11776.0,11797.0,11799.0,11802.0,11805.0,11808.0,11811.0,11813.0,11815.0,11815.0,11816.0,11815.0,11811.0,11806.0,11799.0,11790.0,11799.0,11802.0,11805.0,11808.0,11811.0,11814.0,11818.0,11822.0,11825.0,11826.0,11824.0,11822.0,11818.0,11811.0,11804.0,11798.0,11802.0,11805.0,11808.0,11812.0,11816.0,11820.0,11824.0,11826.0,11829.0,11830.0,11828.0,11825.0,11820.0,11813.0,11794.0,11798.0,11801.0,11806.0,11810.0,11815.0,11821.0,11825.0,11828.0,11831.0,11832.0,11831.0,11829.0,11825.0,11818.0,11786.0,11790.0,11794.0,11798.0,11803.0,11808.0,11813.0,11819.0,11824.0,11827.0,11830.0,11830.0,11829.0,11826.0,11820.0,11775.0,11778.0,11783.0,11788.0,11793.0,11798.0,11804.0,11809.0,11814.0,11819.0,11823.0,11825.0,11825.0,11823.0,11819.0,11761.0,11764.0,11768.0,11772.0,11778.0,11783.0,11789.0,11796.0,11802.0,11807.0,11811.0,11815.0,11817.0,11816.0,11813.0,11743.0,11746.0,11750.0,11755.0,11760.0,11766.0,11772.0,11779.0,11785.0,11792.0,11797.0,11802.0,11805.0,11806.0,11804.0,11722.0,11725.0,11729.0,11735.0,11740.0,11747.0,11753.0,11760.0,11767.0,11774.0,11781.0,11786.0,11790.0,11792.0,11792.0,31.0,20.0,COH
92,11797.0,11799.0,11801.0,11803.0,11805.0,11806.0,11807.0,11808.0,11810.0,11809.0,11810.0,11810.0,11810.0,11810.0,11809.0,11808.0,11810.0,11813.0,11815.0,11817.0,11819.0,11820.0,11821.0,11822.0,11823.0,11823.0,11823.0,11822.0,11822.0,11821.0,11819.0,11823.0,11826.0,11828.0,11831.0,11832.0,11834.0,11835.0,11836.0,11837.0,11836.0,11837.0,11836.0,11835.0,11834.0,11833.0,11836.0,11840.0,11842.0,11845.0,11848.0,11849.0,11850.0,11851.0,11851.0,11851.0,11851.0,11850.0,11849.0,11847.0,11847.0,11851.0,11855.0,11858.0,11861.0,11863.0,11864.0,11866.0,11867.0,11867.0,11867.0,11866.0,11864.0,11863.0,11861.0,11860.0,11865.0,11869.0,11872.0,11875.0,11878.0,11881.0,11881.0,11882.0,11882.0,11881.0,11880.0,11878.0,11876.0,11873.0,11872.0,11877.0,11881.0,11885.0,11888.0,11891.0,11893.0,11894.0,11895.0,11895.0,11894.0,11893.0,11891.0,11887.0,11884.0,11881.0,11886.0,11891.0,11895.0,11898.0,11901.0,11903.0,11904.0,11905.0,11905.0,11904.0,11902.0,11900.0,11896.0,11893.0,11886.0,11892.0,11896.0,11900.0,11904.0,11907.0,11909.0,11910.0,11911.0,11910.0,11909.0,11908.0,11905.0,11902.0,11897.0,11887.0,11892.0,11897.0,11901.0,11905.0,11908.0,11910.0,11911.0,11912.0,11912.0,11911.0,11909.0,11906.0,11903.0,11899.0,11883.0,11888.0,11892.0,11896.0,11900.0,11902.0,11905.0,11906.0,11907.0,11907.0,11907.0,11905.0,11903.0,11900.0,11896.0,11873.0,11878.0,11882.0,11886.0,11889.0,11891.0,11893.0,11895.0,11896.0,11897.0,11898.0,11897.0,11896.0,11894.0,11890.0,11858.0,11862.0,11865.0,11868.0,11871.0,11874.0,11876.0,11879.0,11881.0,11883.0,11884.0,11884.0,11884.0,11883.0,11882.0,11838.0,11841.0,11844.0,11847.0,11849.0,11852.0,11855.0,11859.0,11861.0,11864.0,11866.0,11867.0,11868.0,11870.0,11870.0,11813.0,11815.0,11817.0,11819.0,11822.0,11824.0,11828.0,11831.0,11834.0,11837.0,11839.0,11843.0,11845.0,11850.0,11853.0,84.0,11.0,COH
93,12086.0,12098.0,12108.0,12115.0,12120.0,12124.0,12126.0,12126.0,12125.0,12122.0,12118.0,12111.0,12103.0,12093.0,12081.0,12091.0,12107.0,12121.0,12131.0,12138.0,12144.0,12148.0,12149.0,12147.0,12143.0,12138.0,12132.0,12124.0,12114.0,12102.0,12103.0,12118.0,12131.0,12142.0,12153.0,12159.0,12162.0,12164.0,12166.0,12163.0,12158.0,12152.0,12144.0,12134.0,12123.0,12106.0,12124.0,12141.0,12154.0,12164.0,12172.0,12177.0,12180.0,12181.0,12179.0,12177.0,12171.0,12162.0,12152.0,12141.0,12111.0,12131.0,12148.0,12162.0,12174.0,12182.0,12189.0,12192.0,12195.0,12194.0,12191.0,12186.0,12178.0,12168.0,12158.0,12114.0,12134.0,12153.0,12169.0,12182.0,12192.0,12199.0,12204.0,12206.0,12205.0,12203.0,12198.0,12191.0,12182.0,12171.0,12117.0,12138.0,12157.0,12175.0,12189.0,12200.0,12207.0,12212.0,12215.0,12215.0,12213.0,12209.0,12201.0,12193.0,12183.0,12122.0,12141.0,12159.0,12174.0,12189.0,12205.0,12214.0,12218.0,12221.0,12222.0,12220.0,12216.0,12209.0,12202.0,12192.0,12119.0,12142.0,12163.0,12182.0,12196.0,12205.0,12215.0,12222.0,12225.0,12226.0,12224.0,12220.0,12215.0,12206.0,12198.0,12123.0,12144.0,12163.0,12179.0,12193.0,12206.0,12216.0,12222.0,12225.0,12226.0,12225.0,12221.0,12216.0,12210.0,12202.0,12122.0,12146.0,12165.0,12183.0,12196.0,12207.0,12215.0,12220.0,12223.0,12224.0,12222.0,12218.0,12213.0,12206.0,12199.0,12119.0,12144.0,12165.0,12182.0,12195.0,12205.0,12212.0,12216.0,12218.0,12218.0,12215.0,12211.0,12207.0,12201.0,12194.0,12119.0,12144.0,12165.0,12181.0,12193.0,12202.0,12207.0,12210.0,12210.0,12208.0,12204.0,12200.0,12195.0,12188.0,12181.0,12117.0,12142.0,12163.0,12178.0,12189.0,12196.0,12199.0,12200.0,12199.0,12196.0,12191.0,12185.0,12179.0,12173.0,12167.0,12117.0,12141.0,12160.0,12174.0,12183.0,12188.0,12189.0,12187.0,12184.0,12178.0,12173.0,12166.0,12158.0,12151.0,12145.0,36.0,19.0,COH
94,12072.0,12084.0,12096.0,12106.0,12115.0,12123.0,12130.0,12135.0,12138.0,12140.0,12139.0,12137.0,12134.0,12128.0,12121.0,12086.0,12101.0,12114.0,12125.0,12135.0,12143.0,12150.0,12155.0,12158.0,12159.0,12159.0,12156.0,12152.0,12146.0,12138.0,12101.0,12116.0,12130.0,12141.0,12152.0,12160.0,12168.0,12173.0,12177.0,12177.0,12176.0,12174.0,12169.0,12162.0,12154.0,12114.0,12129.0,12143.0,12156.0,12167.0,12176.0,12184.0,12189.0,12192.0,12193.0,12192.0,12188.0,12183.0,12175.0,12166.0,12123.0,12142.0,12157.0,12169.0,12180.0,12189.0,12196.0,12202.0,12205.0,12206.0,12204.0,12201.0,12195.0,12187.0,12177.0,12135.0,12152.0,12169.0,12182.0,12194.0,12202.0,12209.0,12213.0,12216.0,12216.0,12214.0,12211.0,12204.0,12195.0,12185.0,12142.0,12160.0,12176.0,12189.0,12200.0,12209.0,12217.0,12221.0,12224.0,12224.0,12222.0,12218.0,12212.0,12202.0,12190.0,12148.0,12166.0,12182.0,12196.0,12208.0,12218.0,12224.0,12228.0,12230.0,12230.0,12227.0,12222.0,12215.0,12206.0,12195.0,12155.0,12172.0,12186.0,12199.0,12211.0,12221.0,12227.0,12232.0,12234.0,12233.0,12230.0,12225.0,12218.0,12207.0,12195.0,12153.0,12171.0,12190.0,12203.0,12213.0,12223.0,12229.0,12232.0,12234.0,12233.0,12231.0,12225.0,12216.0,12206.0,12194.0,12157.0,12175.0,12187.0,12201.0,12211.0,12221.0,12227.0,12230.0,12231.0,12230.0,12227.0,12221.0,12214.0,12203.0,12190.0,12150.0,12168.0,12184.0,12198.0,12208.0,12216.0,12221.0,12225.0,12226.0,12225.0,12222.0,12217.0,12209.0,12198.0,12185.0,12151.0,12168.0,12180.0,12191.0,12199.0,12207.0,12214.0,12216.0,12218.0,12216.0,12213.0,12208.0,12200.0,12190.0,12178.0,12145.0,12161.0,12173.0,12183.0,12191.0,12197.0,12202.0,12205.0,12206.0,12205.0,12203.0,12199.0,12191.0,12182.0,12170.0,12140.0,12153.0,12163.0,12172.0,12179.0,12184.0,12188.0,12189.0,12190.0,12190.0,12187.0,12185.0,12177.0,12169.0,12159.0,39.0,17.0,COH
95,12039.0,12051.0,12061.0,12071.0,12080.0,12090.0,12099.0,12107.0,12114.0,12121.0,12126.0,12132.0,12136.0,12138.0,12138.0,12067.0,12078.0,12089.0,12100.0,12110.0,12121.0,12130.0,12138.0,12146.0,12153.0,12159.0,12161.0,12162.0,12163.0,12163.0,12095.0,12106.0,12117.0,12127.0,12138.0,12148.0,12158.0,12167.0,12175.0,12180.0,12183.0,12187.0,12189.0,12189.0,12188.0,12121.0,12133.0,12144.0,12155.0,12167.0,12177.0,12186.0,12194.0,12199.0,12204.0,12208.0,12211.0,12211.0,12210.0,12207.0,12142.0,12155.0,12167.0,12177.0,12189.0,12198.0,12208.0,12214.0,12220.0,12224.0,12227.0,12228.0,12228.0,12225.0,12221.0,12162.0,12175.0,12187.0,12199.0,12211.0,12220.0,12228.0,12233.0,12238.0,12241.0,12243.0,12244.0,12242.0,12238.0,12231.0,12179.0,12192.0,12203.0,12214.0,12225.0,12234.0,12241.0,12246.0,12249.0,12253.0,12252.0,12252.0,12249.0,12243.0,12235.0,12191.0,12206.0,12217.0,12227.0,12236.0,12244.0,12250.0,12253.0,12255.0,12258.0,12257.0,12254.0,12251.0,12244.0,12236.0,12204.0,12213.0,12224.0,12233.0,12241.0,12248.0,12253.0,12256.0,12258.0,12258.0,12256.0,12253.0,12248.0,12240.0,12232.0,12205.0,12217.0,12227.0,12236.0,12243.0,12249.0,12253.0,12255.0,12256.0,12256.0,12253.0,12249.0,12242.0,12234.0,12224.0,12208.0,12218.0,12226.0,12233.0,12239.0,12244.0,12247.0,12250.0,12250.0,12248.0,12245.0,12240.0,12232.0,12224.0,12213.0,12205.0,12214.0,12221.0,12228.0,12233.0,12236.0,12238.0,12239.0,12241.0,12239.0,12236.0,12230.0,12222.0,12212.0,12199.0,12196.0,12204.0,12212.0,12217.0,12220.0,12223.0,12224.0,12224.0,12225.0,12223.0,12221.0,12213.0,12205.0,12195.0,12183.0,12184.0,12189.0,12195.0,12200.0,12203.0,12205.0,12207.0,12208.0,12209.0,12208.0,12206.0,12200.0,12190.0,12178.0,12165.0,12167.0,12171.0,12175.0,12179.0,12182.0,12185.0,12187.0,12188.0,12189.0,12188.0,12185.0,12180.0,12171.0,12161.0,12148.0,40.0,19.0,COH
96,12049.0,12046.0,12044.0,12043.0,12043.0,12044.0,12046.0,12049.0,12053.0,12058.0,12064.0,12071.0,12079.0,12087.0,12094.0,12039.0,12035.0,12033.0,12032.0,12032.0,12033.0,12035.0,12038.0,12041.0,12046.0,12051.0,12059.0,12066.0,12076.0,12085.0,12030.0,12027.0,12024.0,12024.0,12024.0,12025.0,12026.0,12028.0,12032.0,12036.0,12041.0,12048.0,12056.0,12065.0,12075.0,12026.0,12022.0,12020.0,12019.0,12019.0,12019.0,12019.0,12021.0,12023.0,12026.0,12031.0,12037.0,12046.0,12055.0,12066.0,12024.0,12020.0,12017.0,12015.0,12013.0,12013.0,12012.0,12013.0,12014.0,12017.0,12021.0,12028.0,12035.0,12045.0,12057.0,12025.0,12019.0,12015.0,12011.0,12009.0,12007.0,12006.0,12006.0,12007.0,12009.0,12013.0,12019.0,12026.0,12036.0,12048.0,12030.0,12022.0,12015.0,12009.0,12005.0,12002.0,12000.0,11999.0,12000.0,12001.0,12005.0,12010.0,12018.0,12027.0,12039.0,12042.0,12030.0,12018.0,12011.0,12005.0,11999.0,11996.0,11994.0,11994.0,11996.0,11999.0,12004.0,12011.0,12019.0,12031.0,12059.0,12047.0,12032.0,12018.0,12007.0,12000.0,11995.0,11992.0,11991.0,11992.0,11994.0,11999.0,12005.0,12014.0,12024.0,12073.0,12063.0,12051.0,12037.0,12022.0,12009.0,11998.0,11992.0,11990.0,11991.0,11993.0,11997.0,12002.0,12010.0,12020.0,12089.0,12081.0,12070.0,12059.0,12045.0,12030.0,12016.0,12005.0,11998.0,11994.0,11995.0,11998.0,12003.0,12009.0,12018.0,12102.0,12098.0,12091.0,12080.0,12070.0,12057.0,12042.0,12028.0,12017.0,12010.0,12007.0,12006.0,12008.0,12013.0,12020.0,12117.0,12115.0,12111.0,12103.0,12094.0,12083.0,12071.0,12058.0,12046.0,12035.0,12028.0,12023.0,12021.0,12023.0,12027.0,12136.0,12136.0,12133.0,12128.0,12121.0,12112.0,12100.0,12088.0,12076.0,12064.0,12054.0,12046.0,12041.0,12039.0,12040.0,12157.0,12158.0,12157.0,12153.0,12148.0,12140.0,12131.0,12120.0,12107.0,12095.0,12083.0,12073.0,12065.0,12060.0,12058.0,37.0,37.0,COH
97,12392.0,12399.0,12405.0,12411.0,12420.0,12426.0,12431.0,12435.0,12437.0,12439.0,12439.0,12440.0,12440.0,12440.0,12440.0,12400.0,12410.0,12421.0,12430.0,12436.0,12443.0,12450.0,12454.0,12458.0,12459.0,12461.0,12460.0,12461.0,12460.0,12456.0,12414.0,12426.0,12436.0,12445.0,12453.0,12459.0,12467.0,12473.0,12476.0,12477.0,12478.0,12478.0,12477.0,12473.0,12467.0,12426.0,12436.0,12449.0,12459.0,12469.0,12476.0,12480.0,12485.0,12489.0,12493.0,12491.0,12492.0,12489.0,12482.0,12478.0,12434.0,12446.0,12461.0,12471.0,12484.0,12492.0,12498.0,12497.0,12499.0,12501.0,12500.0,12510.0,12497.0,12487.0,12483.0,12446.0,12458.0,12468.0,12478.0,12488.0,12495.0,12504.0,12509.0,12509.0,12508.0,12512.0,12510.0,12499.0,12491.0,12487.0,12456.0,12465.0,12474.0,12484.0,12493.0,12501.0,12507.0,12512.0,12513.0,12515.0,12517.0,12517.0,12505.0,12495.0,12489.0,12464.0,12471.0,12479.0,12489.0,12497.0,12504.0,12510.0,12512.0,12512.0,12522.0,12521.0,12520.0,12504.0,12496.0,12488.0,12469.0,12475.0,12482.0,12492.0,12499.0,12506.0,12510.0,12514.0,12516.0,12525.0,12530.0,12518.0,12503.0,12496.0,12487.0,12474.0,12478.0,12483.0,12493.0,12499.0,12506.0,12510.0,12513.0,12513.0,12517.0,12522.0,12514.0,12503.0,12492.0,12484.0,12477.0,12478.0,12482.0,12491.0,12497.0,12505.0,12509.0,12512.0,12511.0,12508.0,12513.0,12506.0,12499.0,12487.0,12479.0,12479.0,12477.0,12478.0,12488.0,12494.0,12502.0,12507.0,12509.0,12511.0,12507.0,12507.0,12500.0,12494.0,12482.0,12473.0,12480.0,12475.0,12473.0,12483.0,12491.0,12499.0,12504.0,12507.0,12508.0,12505.0,12502.0,12496.0,12488.0,12477.0,12466.0,12481.0,12474.0,12468.0,12478.0,12488.0,12495.0,12501.0,12503.0,12504.0,12502.0,12499.0,12493.0,12483.0,12471.0,12459.0,12482.0,12473.0,12466.0,12475.0,12485.0,12492.0,12499.0,12500.0,12501.0,12500.0,12495.0,12489.0,12478.0,12466.0,12453.0,73.0,51.0,COH
